,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,Matthew Aitch,PF,23,INA,45,,14.2,2.2,5.5,.405,0.0,0.0,.000,2.2,5.4,.408,.405,1.2,1.7,.675,,,3.6,0.4,,,0.8,1.5,5.6
1,Bill Allen,C,,ANA,38,,22.6,3.2,7.4,.429,0.1,0.1,1.000,3.1,7.3,.424,.432,1.5,2.6,.586,,,7.1,0.6,,,1.0,3.2,7.9
2,Andrew Anderson,PG,22,OAK,77,,24.6,3.6,9.8,.369,0.1,0.6,.205,3.5,9.2,.379,.375,2.1,2.9,.724,,,2.2,1.5,,,1.6,2.5,9.5
3,Dan Anderson,C,24,NJA,78,,33.7,5.9,12.0,.494,0.0,0.0,,5.9,12.0,.494,.494,2.9,4.1,.697,3.9,7.1,11.0,1.2,,,1.7,4.2,14.7
4,Johnny Austin,SG,23,NJA,41,,16.9,2.6,6.8,.387,0.0,0.3,.000,2.6,6.5,.403,.387,2.5,3.4,.721,,,1.6,1.4,,,1.4,2.7,7.7
5,Howard Bayne,PF,25,KEN,69,,17.1,1.9,5.2,.360,0.0,0.1,.143,1.9,5.1,.364,.361,1.1,2.1,.538,,,6.6,1.0,,,1.7,2.9,4.9
6,Al Beard,C,25,NJA,12,,9.8,1.0,1.9,.522,0.0,0.0,,1.0,1.9,.522,.522,0.5,0.9,.545,,,3.8,0.0,,,1.0,2.4,2.5
7,Charles Beasley,SG,22,DLC,78,,38.1,4.8,9.7,.493,0.0,0.2,.231,4.8,9.6,.498,.495,3.7,4.2,.872,,,3.8,3.7,,,2.4,2.6,13.3
8,John Beasley,C,23,DLC,77,,36.9,8.1,16.4,.492,0.0,0.0,.000,8.1,16.4,.493,.492,3.5,4.2,.842,3.6,9.1,12.8,1.5,,,1.4,3.2,19.7
9,Byron Beck,C,23,DNR,71,,22.9,3.9,8.0,.482,0.0,0.0,.000,3.9,8.0,.484,.482,1.7,2.2,.748,,,7.9,0.5,,,1.0,3.1,9.4
10,Arthur Becker,PF,26,HSM,76,,35.4,7.4,15.8,.468,0.1,0.2,.333,7.4,15.7,.469,.469,3.9,4.8,.820,3.3,6.1,9.4,1.3,,,2.0,4.2,18.8
11,Bob Bedell,PF,23,ANA,76,,19.6,4.3,9.7,.442,0.0,0.1,.000,4.3,9.6,.444,.442,1.9,2.5,.747,,,6.7,1.0,,,1.5,2.7,10.4
