,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,Don Adams,SF,28,SSL,20,,36.3,5.0,12.6,.394,0.0,0.1,.000,5.0,12.5,.398,.394,3.2,4.2,.759,2.2,3.6,5.8,4.4,1.9,0.4,2.6,4.0,13.1
1,Bird Averitt,SG,23,KEN,78,,29.1,7.0,16.3,.429,0.5,1.6,.313,6.5,14.7,.442,.444,3.4,4.4,.769,0.7,2.0,2.7,3.8,1.4,0.3,2.8,2.7,17.9
2,Jimmie Baker,PF,22,KEN,5,,8.0,0.6,3.0,.200,0.0,0.0,,0.6,3.0,.200,.200,0.0,0.4,.000,0.8,2.0,2.8,0.8,0.0,0.6,1.2,2.2,1.2
3,Marvin Barnes,PF,23,SSL,67,,37.1,10.2,20.2,.503,0.0,0.2,.273,10.1,20.1,.504,.504,3.7,5.1,.740,3.9,6.9,10.8,2.2,1.9,2.0,3.4,4.1,24.1
4,Nathaniel Barnett,PG,23,INA,12,,6.1,1.0,2.2,.462,0.0,0.1,.000,1.0,2.1,.480,.462,0.3,0.7,.375,0.3,0.4,0.7,0.7,0.3,0.1,0.7,1.8,2.3
5,Mike Barr,SG,25,SSL,56,,18.7,2.2,4.3,.517,0.1,0.3,.375,2.1,4.0,.527,.529,0.8,1.0,.836,0.5,1.4,1.9,3.1,1.1,0.1,1.5,1.4,5.4
6,Tim Bassett,PF,24,NYA,84,,21.3,2.1,4.7,.437,0.0,0.1,.167,2.0,4.6,.441,.438,0.7,1.2,.592,2.2,4.1,6.3,0.8,0.6,0.5,1.2,2.9,4.8
7,Byron Beck,PF,31,DNA,80,,19.8,4.2,8.1,.517,0.1,0.1,.455,4.1,7.9,.518,.521,1.2,1.5,.836,1.5,2.9,4.4,1.5,0.6,0.3,1.1,2.4,9.6
8,Mel Bennett,PF,21,VIR,75,,29.2,4.4,10.9,.402,0.0,0.0,.000,4.4,10.9,.403,.402,3.3,5.4,.610,3.3,3.7,7.0,1.3,1.0,0.6,2.3,3.5,12.1
9,Ron Boone,SG,29,TOT,78,,38.0,9.1,18.8,.486,0.2,0.6,.372,8.9,18.3,.489,.491,3.6,4.1,.871,1.5,2.6,4.1,5.0,2.0,0.2,3.5,3.1,22.0
10,Jim Bradley,PF,23,DNA,7,,15.3,2.1,5.4,.395,0.0,0.0,,2.1,5.4,.395,.395,0.3,0.4,.667,0.6,3.7,4.3,1.6,0.7,0.7,0.7,3.7,4.6
11,Allan Bristow,SF,24,SAA,47,,18.8,2.7,5.8,.461,0.0,0.0,.000,2.7,5.7,.463,.461,1.7,2.0,.848,1.4,2.3,3.7,2.6,0.5,0.0,1.3,1.7,7.0
12,Roger Brown,C,25,DNA,37,,7.9,0.8,1.6,.459,0.1,0.1,1.000,0.7,1.6,.441,.475,0.4,0.6,.667,0.7,1.4,2.0,0.6,0.2,0.6,0.5,1.7,2.0
