,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,5,131,3251,1423,425,623,.450,.262,.708,24.8,10.9,3.2,4.8,3.5,.052,-2.0,0.0
2,2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,.400,.364,.578,32.5,11.9,5.7,6.2,11.4,.067,1.0,6.3
3,3,BOS,Jayson Tatum,Duke,5,365,12184,7640,2420,1106,.456,.383,.844,33.4,20.9,6.6,3.0,35.1,.138,2.8,14.8
4,4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,.416,.292,.680,23.1,11.3,4.0,1.8,-1.7,-.012,-3.8,-3.1
5,5,SAC,De'Aaron Fox,Kentucky,5,322,10325,6148,1138,2005,.462,.320,.725,32.1,19.1,3.5,6.2,15.7,.073,0.1,5.4
6,6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,.435,.330,.797,25.8,9.3,5.4,1.1,6.7,.091,0.2,2.0
7,7,MIN,Lauri Markkanen,Arizona,5,282,8389,4339,1904,354,.441,.364,.850,29.7,15.4,6.8,1.3,16.6,.095,-0.1,4.0
8,8,NYK,Frank Ntilikina,,5,269,4804,1395,495,631,.371,.331,.775,17.9,5.2,1.8,2.3,0.6,.006,-4.1,-2.5
9,9,DAL,Dennis Smith Jr.,NC State,5,216,5152,2317,636,917,.402,.312,.652,23.9,10.7,2.9,4.2,-0.6,-.005,-2.3,-0.4
10,10,SAC,Zach Collins,Gonzaga,4,182,3193,1099,767,200,.452,.327,.743,17.5,6.0,4.2,1.1,5.1,.077,-2.2,-0.2
11,11,CHO,Malik Monk,Kentucky,5,309,6298,3176,717,627,.424,.355,.830,20.4,10.3,2.3,2.0,5.6,.043,-1.9,0.1
12,12,DET,Luke Kennard,Duke,5,297,6973,2966,847,603,.449,.425,.869,23.5,10.0,2.9,2.0,14.2,.098,-0.3,3.0
13,13,DEN,Donovan Mitchell,Louisville,5,345,11637,8234,1433,1542,.441,.361,.833,33.7,23.9,4.2,4.5,29.0,.120,2.4,13.1
14,14,MIA,Bam Adebayo,Kentucky,5,343,9666,4617,2850,1189,.558,.140,.741,28.2,13.5,8.3,3.5,35.4,.176,3.0,12.1
15,15,POR,Justin Jackson,UNC,5,255,4779,1656,637,276,.426,.321,.799,18.7,6.5,2.5,1.1,5.3,.053,-2.8,-1.0
16,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.8,-0.1
17,17,MIL,D.J. Wilson,Michigan,5,146,1803,647,452,108,.419,.327,.618,12.3,4.4,3.1,0.7,2.8,.075,-2.6,-0.3
18,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1
19,19,ATL,John Collins,Wake Forest,5,293,8488,4837,2441,455,.559,.376,.779,29.0,16.5,8.3,1.6,28.1,.159,1.5,7.4
20,20,POR,Harry Giles,Duke,3,142,1835,832,543,174,.511,.258,.671,12.9,5.9,3.8,1.2,3.0,.079,-2.4,-0.2
21,21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1
22,22,BRK,Jarrett Allen,Texas,5,341,9062,3945,2964,467,.626,.189,.699,26.6,11.6,8.7,1.4,34.9,.185,1.7,8.5
23,23,TOR,OG Anunoby,Indiana,5,301,8060,3144,1246,429,.470,.372,.709,26.8,10.4,4.1,1.4,17.6,.105,0.1,4.3
24,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
25,25,ORL,Anžejs Pasečņiks,,2,28,443,156,108,19,.521,.000,.586,15.8,5.6,3.9,0.7,0.4,.038,-6.2,-0.5
26,26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,.438,.118,.614,8.7,2.3,2.9,0.7,-0.2,-.015,-6.2,-0.7
27,27,BRK,Kyle Kuzma,Utah,5,342,10399,5336,2116,759,.449,.339,.723,30.4,15.6,6.2,2.2,14.2,.066,-1.0,2.7
28,28,LAL,Tony Bradley,UNC,5,167,1961,773,718,89,.634,.429,.672,11.7,4.6,4.3,0.5,7.4,.181,0.2,1.1
29,29,SAS,Derrick White,Colorado,5,263,6807,3027,864,1006,.442,.340,.838,25.9,11.5,3.3,3.8,15.3,.108,1.1,5.3
30,30,UTA,Josh Hart,Villanova,5,296,8071,2918,1701,614,.450,.347,.739,27.3,9.9,5.7,2.1,15.7,.094,-0.3,3.4
31,31,CHO,Frank Jackson,Duke,4,213,3868,1816,390,221,.422,.333,.786,18.2,8.5,1.8,1.0,2.5,.031,-3.9,-1.9
32,32,PHO,Davon Reed,Miami (FL),3,79,957,284,153,69,.434,.391,.667,12.1,3.6,1.9,0.9,1.4,.070,-2.1,0.0
33,33,ORL,Wes Iwundu,Kansas State,5,226,3827,989,555,208,.408,.292,.798,16.9,4.4,2.5,0.9,4.2,.053,-3.9,-1.8
34,34,SAC,Frank Mason III,Kansas,4,103,1616,695,204,272,.396,.301,.755,15.7,6.7,2.0,2.6,1.2,.035,-2.6,-0.3
35,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,.555,.200,.743,14.6,5.7,4.3,1.0,3.2,.125,-1.7,0.1
36,36,PHI,Jonah Bolden,,2,51,686,217,174,40,.486,.340,.484,13.5,4.3,3.4,0.8,1.4,.098,-1.3,0.1
37,37,BOS,Semi Ojeleye,SMU,5,284,4111,975,613,126,.384,.344,.717,14.5,3.4,2.2,0.4,5.2,.061,-3.4,-1.5
38,38,CHI,Jordan Bell,Oregon,5,161,1937,593,497,201,.552,.200,.636,12.0,3.7,3.1,1.2,4.9,.121,0.2,1.1
39,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,.345,.263,.776,15.1,4.2,1.7,2.0,-0.4,-.022,-5.4,-0.7
40,40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,.402,.314,.780,19.4,7.3,2.6,1.1,0.8,.010,-5.1,-3.1
41,41,ATL,Tyler Dorsey,Oregon,2,104,1672,701,243,135,.389,.350,.669,16.1,6.7,2.3,1.3,1.0,.030,-3.1,-0.5
42,42,UTA,Thomas Bryant,Indiana,5,170,3425,1733,971,219,.590,.350,.764,20.1,10.2,5.7,1.3,11.6,.163,1.5,3.0
43,43,HOU,Isaiah Hartenstein,,4,165,2262,959,650,248,.600,.383,.682,13.7,5.8,3.9,1.5,8.5,.181,1.9,2.2
44,44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,.417,.345,.711,19.9,7.5,2.5,1.5,3.0,.034,-2.8,-0.9
45,45,HOU,Dillon Brooks,Oregon,5,272,7674,3955,829,546,.421,.348,.799,28.2,14.5,3.0,2.0,5.3,.033,-3.8,-3.5
46,46,PHI,Sterling Brown,SMU,5,264,4434,1431,883,266,.420,.364,.796,16.8,5.4,3.3,1.0,6.5,.071,-2.1,-0.1
47,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,.333,,.833,2.6,0.9,0.9,0.1,0.0,.057,-1.1,0.0
48,48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,.407,.340,.672,10.8,2.5,1.3,0.7,1.1,.032,-3.1,-0.5
49,49,DEN,Vlatko Čančar,,3,70,502,164,91,34,.484,.333,.742,7.2,2.3,1.3,0.5,0.8,.075,-2.5,-0.1
50,50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
51,51,DEN,Monte Morris,Iowa State,5,280,7066,2947,655,1042,.481,.394,.830,25.2,10.5,2.3,3.7,18.5,.125,0.3,4.2
52,52,NOP,Edmond Sumner,Xavier,4,108,1520,619,165,114,.474,.333,.728,14.1,5.7,1.5,1.1,1.9,.061,-3.2,-0.4
53,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.2,0.1
54,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0
55,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0
56,56,BOS,Jabari Bird,California,1,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
57,57,BRK,Sasha Vezenkov,,,,,,,,,,,,,,,,,,
58,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
