,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,.604,.333,.683,31.7,25.7,7.0,3.2,10.6,.189,4.9,4.7
2,2,MEM,Ja Morant,Murray State,3,187,6016,3961,836,1337,.474,.327,.754,32.2,21.2,4.5,7.1,13.7,.109,1.9,5.9
3,3,NYK,RJ Barrett,Duke,3,198,6632,3469,1101,568,.418,.357,.697,33.5,17.5,5.6,2.9,5.9,.042,-2.2,-0.3
4,4,LAL,De'Andre Hunter,Virginia,3,139,4273,1831,572,224,.434,.359,.785,30.7,13.2,4.1,1.6,2.9,.033,-3.5,-1.6
5,5,CLE,Darius Garland,Vanderbilt,3,181,6044,3142,464,1141,.443,.378,.876,33.4,17.4,2.6,6.3,6.2,.050,-1.2,1.1
6,6,PHO,Jarrett Culver,Texas Tech,3,134,2343,890,364,167,.401,.283,.497,17.5,6.6,2.7,1.2,-0.1,-.002,-4.6,-1.5
7,7,CHI,Coby White,UNC,3,195,5505,2672,696,679,.413,.365,.851,28.2,13.7,3.6,3.5,5.6,.049,-2.5,-0.6
8,8,ATL,Jaxson Hayes,Texas,3,194,3442,1575,831,134,.634,.360,.723,17.7,8.1,4.3,0.7,12.5,.174,0.2,1.9
9,9,WAS,Rui Hachimura,Gonzaga,3,147,4184,1913,766,217,.477,.360,.779,28.5,13.0,5.2,1.5,5.3,.061,-2.8,-0.8
10,10,ATL,Cam Reddish,Duke,3,133,3313,1399,425,170,.387,.325,.841,24.9,10.5,3.2,1.3,1.0,.015,-3.1,-0.9
11,11,MIN,Cameron Johnson,UNC,3,183,4422,1899,659,254,.440,.390,.843,24.2,10.4,3.6,1.4,10.9,.118,1.1,3.5
12,12,CHO,P.J. Washington,Kentucky,3,187,5481,2202,1071,431,.454,.375,.702,29.3,11.8,5.7,2.3,8.0,.070,-0.9,1.6
13,13,MIA,Tyler Herro,Kentucky,3,175,5294,2925,821,568,.440,.385,.851,30.3,16.7,4.7,3.2,7.0,.064,-0.6,1.9
14,14,BOS,Romeo Langford,Indiana,3,98,1424,353,184,47,.400,.300,.633,14.5,3.6,1.9,0.5,1.5,.052,-2.9,-0.3
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,.388,.256,.693,17.1,5.6,2.8,0.7,-0.4,-.013,-6.5,-1.8
16,16,ORL,Chuma Okeke,Auburn,2,115,2882,954,528,219,.390,.326,.810,25.1,8.3,4.6,1.9,3.5,.058,-0.7,1.0
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,3,158,3064,1467,415,347,.387,.329,.726,19.4,9.3,2.6,2.2,0.6,.009,-2.7,-0.5
18,18,IND,Goga Bitadze,,3,149,1761,752,433,115,.477,.254,.707,11.8,5.0,2.9,0.8,4.0,.109,-1.2,0.4
19,19,SAS,Luka Šamanić,,2,36,356,138,78,21,.430,.294,.576,9.9,3.8,2.2,0.6,0.1,.015,-4.8,-0.3
20,20,BOS,Matisse Thybulle,Washington,3,196,4270,939,382,217,.450,.324,.657,21.8,4.8,1.9,1.1,8.8,.099,1.1,3.3
21,21,OKC,Brandon Clarke,Gonzaga,3,181,3961,1976,1015,262,.591,.294,.699,21.9,10.9,5.6,1.4,15.4,.187,2.9,4.9
22,22,BOS,Grant Williams,Tennessee,3,209,4056,1133,630,210,.449,.369,.775,19.4,5.4,3.0,1.0,7.7,.091,-1.9,0.1
23,23,UTA,Darius Bazley,,3,185,4768,1841,1078,237,.406,.305,.695,25.8,10.0,5.8,1.3,1.8,.018,-2.7,-0.8
24,24,PHI,Ty Jerome,Virginia,3,112,1917,795,215,273,.398,.344,.784,17.1,7.1,1.9,2.4,1.8,.046,-1.9,0.0
25,25,POR,Nassir Little,UNC,3,138,2301,802,472,99,.455,.317,.727,16.7,5.8,3.4,0.7,3.4,.071,-2.3,-0.2
26,26,CLE,Dylan Windler,Belmont,2,81,972,271,196,67,.412,.320,.800,12.0,3.3,2.4,0.8,1.3,.063,-1.7,0.1
27,27,BRK,Mfiondu Kabengele,Florida State,2,51,344,137,71,19,.388,.314,.840,6.7,2.7,1.4,0.4,0.4,.054,-3.1,-0.1
28,28,GSW,Jordan Poole,Michigan,3,184,4545,2520,470,537,.416,.341,.885,24.7,13.7,2.6,2.9,6.7,.071,-1.5,0.6
29,29,SAS,Keldon Johnson,Kentucky,3,161,4661,2313,926,294,.478,.385,.753,29.0,14.4,5.8,1.8,9.3,.095,-0.8,1.4
30,30,MIL,Kevin Porter Jr.,USC,3,137,3904,1878,528,649,.424,.352,.686,28.5,13.7,3.9,4.7,1.1,.014,-2.7,-0.7
31,31,BRK,Nic Claxton,Georgia,3,94,1755,688,474,87,.646,.167,.539,18.7,7.3,5.0,0.9,5.8,.159,0.3,1.0
32,32,PHO,KZ Okpala,Stanford,3,63,717,176,114,34,.406,.273,.607,11.4,2.8,1.8,0.5,0.7,.047,-5.3,-0.6
33,33,PHI,Carsen Edwards,Purdue,3,72,706,267,79,52,.364,.297,.758,9.8,3.7,1.1,0.7,0.3,.019,-5.1,-0.5
34,34,PHI,Bruno Fernando,Maryland,3,119,1091,379,331,66,.527,.146,.608,9.2,3.2,2.8,0.6,1.2,.052,-4.1,-0.6
35,35,ATL,Didi Louzada,,2,12,185,43,20,8,.326,.355,1.000,15.4,3.6,1.7,0.7,-0.1,-.034,-8.1,-0.3
36,36,CHO,Cody Martin,Nevada,3,171,3618,989,604,360,.460,.323,.660,21.2,5.8,3.5,2.1,6.0,.079,-1.2,0.7
37,37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,.300,.314,.500,7.0,1.9,1.5,0.3,-0.1,-.032,-5.9,-0.2
38,38,CHI,Daniel Gafford,Arkansas,3,169,2844,1277,744,118,.692,.000,.657,16.8,7.6,4.4,0.7,11.3,.190,1.1,2.3
39,39,NOP,Alen Smailagić,,2,29,223,87,43,17,.463,.304,.720,7.7,3.0,1.5,0.6,0.3,.056,-3.3,-0.1
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,.446,.343,.544,7.5,3.2,0.9,0.6,0.3,.024,-3.1,-0.2
41,41,GSW,Eric Paschall,Villanova,3,158,3085,1552,509,214,.494,.326,.758,19.5,9.8,3.2,1.4,5.0,.078,-2.2,-0.1
42,42,PHI,Admiral Schofield,Tennessee,2,71,837,245,136,40,.403,.321,.733,11.8,3.5,1.9,0.6,0.4,.023,-5.5,-0.7
43,43,MIN,Jaylen Nowell,Washington,3,119,1885,963,231,211,.446,.345,.811,15.8,8.1,1.9,1.8,3.7,.093,-1.0,0.5
44,44,MIA,Bol Bol,Oregon,3,53,328,142,63,18,.478,.378,.667,6.2,2.7,1.2,0.3,0.2,.031,-3.1,-0.1
45,45,DET,Isaiah Roby,Nebraska,3,109,2384,987,560,178,.495,.365,.708,21.9,9.1,5.1,1.6,4.1,.083,-1.8,0.1
46,46,ORL,Talen Horton-Tucker,Iowa State,3,131,2896,1216,369,346,.437,.276,.783,22.1,9.3,2.8,2.6,3.3,.054,-2.3,-0.2
47,47,SAC,Ignas Brazdeikis,Michigan,3,64,838,318,122,58,.416,.315,.686,13.1,5.0,1.9,0.9,0.4,.024,-4.9,-0.6
48,48,LAC,Terance Mann,Florida State,3,189,3942,1443,722,366,.491,.379,.786,20.9,7.6,3.8,1.9,10.0,.122,-0.6,1.4
49,49,SAS,Quinndary Weatherspoon,Mississippi State,3,42,272,88,32,24,.452,.188,.826,6.5,2.1,0.8,0.6,0.2,.030,-5.5,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,2,37,234,88,47,26,.438,.366,.750,6.3,2.4,1.3,0.7,0.5,.099,-0.6,0.1
51,51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,.354,.296,.960,10.2,3.7,0.9,2.1,0.1,.012,-3.0,-0.1
52,52,CHO,Jalen McDaniels,San Diego State,3,118,2092,775,404,124,.475,.359,.732,17.7,6.6,3.4,1.1,3.4,.078,-2.8,-0.5
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1
55,55,NYK,Kyle Guy,Virginia,3,53,431,165,53,50,.361,.303,.750,8.1,3.1,1.0,0.9,0.1,.006,-4.9,-0.3
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,.378,.286,,10.4,2.8,1.2,1.1,0.1,.010,-5.9,-0.2
58,58,GSW,Miye Oni,Yale,3,80,672,145,108,37,.350,.330,.750,8.4,1.8,1.4,0.5,1.0,.070,-2.5,-0.1
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
60,60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
