,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,2,144,4780,2925,679,486,.429,.344,.781,33.2,20.3,4.7,3.4,5.1,.051,-0.4,1.9
2,2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,.519,.316,.628,21.4,11.5,5.8,0.7,0.7,.042,-5.0,-0.6
3,3,CHO,LaMelo Ball,,2,126,3891,2311,803,884,.431,.378,.826,30.9,18.3,6.4,7.0,8.7,.107,2.8,4.7
4,4,CHI,Patrick Williams,Florida State,2,88,2405,808,396,114,.490,.413,.729,27.3,9.2,4.5,1.3,3.3,.067,-2.3,-0.2
5,5,CLE,Isaac Okoro,Auburn,2,134,4154,1234,407,249,.446,.315,.747,31.0,9.2,3.0,1.9,5.1,.059,-3.5,-1.6
6,6,ATL,Onyeka Okongwu,USC,2,98,1593,620,446,71,.672,.000,.695,16.3,6.3,4.6,0.7,6.1,.184,0.0,0.8
7,7,DET,Killian Hayes,,2,92,2317,629,279,415,.374,.268,.780,25.2,6.8,3.0,4.5,-0.6,-.013,-4.6,-1.5
8,8,NYK,Obi Toppin,Dayton,2,134,1913,901,406,106,.521,.307,.753,14.3,6.7,3.0,0.8,5.5,.137,1.0,1.5
9,9,WAS,Deni Avdija,,2,136,3241,1027,687,230,.426,.316,.729,23.8,7.6,5.1,1.7,3.6,.054,-2.3,-0.2
10,10,PHO,Jalen Smith,Maryland,2,78,1081,523,344,28,.495,.317,.761,13.9,6.7,4.4,0.4,2.9,.127,-1.3,0.2
11,11,SAS,Devin Vassell,Florida State,2,133,2993,1213,480,192,.421,.357,.840,22.5,9.1,3.6,1.4,4.8,.077,-0.9,0.8
12,12,SAC,Tyrese Haliburton,Iowa State,2,135,4441,1934,484,937,.473,.412,.846,32.9,14.3,3.6,6.9,10.5,.114,2.1,4.6
13,13,NOP,Kira Lewis Jr.,Alabama,2,78,1245,484,110,173,.391,.298,.841,16.0,6.2,1.4,2.2,0.7,.028,-3.6,-0.5
