,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
14,14,BOS,Aaron Nesmith,Vanderbilt,2,98,1243,414,216,45,.417,.318,.796,12.7,4.2,2.2,0.5,1.5,.058,-3.7,-0.5
15,15,ORL,Cole Anthony,UNC,2,112,3332,1667,569,561,.393,.337,.846,29.8,14.9,5.1,5.0,1.6,.023,-2.0,0.0
16,16,POR,Isaiah Stewart,Washington,2,139,3271,1126,1070,141,.529,.330,.708,23.5,8.1,7.7,1.0,7.4,.109,-2.3,-0.2
17,17,MIN,Aleksej Pokusevski,,2,106,2323,831,530,228,.376,.285,.717,21.9,7.8,5.0,2.2,-1.5,-.032,-4.2,-1.3
18,18,DAL,Josh Green,Arizona,2,106,1484,420,239,107,.493,.311,.647,14.0,4.0,2.3,1.0,2.9,.093,-1.8,0.1
19,19,BRK,Saddiq Bey,Villanova,2,152,4613,2178,759,328,.399,.361,.833,30.3,14.3,5.0,2.2,7.3,.075,-0.4,1.9
20,20,MIA,Precious Achiuwa,Memphis,2,134,2462,968,681,111,.468,.357,.556,18.4,7.2,5.1,0.8,3.8,.075,-3.0,-0.7
21,21,PHI,Tyrese Maxey,Kentucky,2,136,3585,1799,344,441,.478,.396,.867,26.4,13.2,2.5,3.2,9.2,.123,0.0,1.9
22,22,DEN,Zeke Nnaji,Arizona,2,83,1095,406,212,27,.503,.439,.663,13.2,4.9,2.6,0.3,2.7,.116,-2.1,0.0
23,23,NYK,Leandro Bolmaro,,1,35,241,50,43,21,.315,.278,.846,6.9,1.4,1.2,0.6,0.0,.004,-5.8,-0.2
24,24,MIL,R.J. Hampton,,2,115,2290,843,373,245,.404,.337,.653,19.9,7.3,3.2,2.1,0.2,.005,-4.0,-1.1
25,25,OKC,Immanuel Quickley,Kentucky,2,142,3045,1613,384,402,.393,.365,.885,21.4,11.4,2.7,2.8,7.5,.118,0.5,1.9
26,26,BOS,Payton Pritchard,Oregon,2,137,2269,952,292,259,.435,.412,.924,16.6,6.9,2.1,1.9,5.6,.118,0.4,1.4
27,27,UTA,Udoka Azubuike,Kansas,2,32,252,96,84,0,.707,,.667,7.9,3.0,2.6,0.0,0.8,.148,-2.0,0.0
28,28,LAL,Jaden McDaniels,Washington,2,133,3314,1074,525,150,.455,.338,.724,24.9,8.1,3.9,1.1,3.9,.056,-3.2,-1.0
29,29,TOR,Malachi Flynn,San Diego State,2,91,1465,542,179,207,.380,.326,.750,16.1,6.0,2.0,2.3,1.8,.060,-2.2,-0.1
30,30,BOS,Desmond Bane,TCU,2,144,3785,2009,544,326,.464,.435,.882,26.3,14.0,3.8,2.3,10.1,.129,1.3,3.2
31,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,.353,.000,.333,4.5,1.0,0.5,0.5,0.0,-.035,-4.8,0.0
32,32,CHO,Vernon Carey Jr.,Duke,2,26,159,66,39,2,.510,.143,.625,6.1,2.5,1.5,0.1,0.2,.066,-6.5,-0.2
33,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,.431,.167,.706,5.7,1.9,1.6,0.3,0.3,.086,-5.2,-0.2
34,34,PHI,Théo Maledon,,2,116,2686,1019,342,338,.371,.322,.766,23.2,8.8,2.9,2.9,-0.5,-.009,-4.8,-1.9
35,35,SAC,Xavier Tillman Sr.,Michigan State,2,112,1786,642,417,137,.515,.281,.645,15.9,5.7,3.7,1.2,4.6,.125,0.2,1.0
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,-.033,-9.5,-0.1
37,37,WAS,Vit Krejci,,1,30,690,187,101,57,.407,.327,.864,23.0,6.2,3.4,1.9,0.6,.042,-5.3,-0.6
38,38,UTA,Saben Lee,Vanderbilt,2,85,1385,475,184,281,.434,.265,.731,16.3,5.6,2.2,3.3,2.4,.083,-1.3,0.2
39,39,NOP,Elijah Hughes,Syracuse,2,54,498,157,67,28,.328,.280,.769,9.2,2.9,1.2,0.5,-0.4,-.039,-6.4,-0.5
40,40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,.278,.200,.500,3.5,1.1,1.1,0.2,-0.1,-.077,-7.7,-0.1
41,41,SAS,Tre Jones,Duke,2,106,1417,507,176,272,.487,.232,.800,13.4,4.8,1.7,2.6,3.3,.110,-1.0,0.3
42,42,NOP,Nick Richards,Kentucky,2,68,430,165,97,15,.646,.000,.685,6.3,2.4,1.4,0.2,1.0,.111,-3.5,-0.2
43,43,SAC,Jahmi'us Ramsey,Texas Tech,2,32,228,100,23,13,.406,.270,.632,7.1,3.1,0.7,0.4,-0.1,-.023,-5.9,-0.2
44,44,CHI,Marko Simonovic,,1,9,35,17,10,0,.267,.200,.727,3.9,1.9,1.1,0.0,0.0,-.011,-11.1,-0.1
45,45,MIL,Jordan Nwora,Louisville,2,92,1459,658,281,66,.415,.370,.809,15.9,7.2,3.1,0.7,1.0,.033,-3.6,-0.6
46,46,POR,CJ Elleby,Washington State,2,88,1366,407,259,97,.390,.275,.717,15.5,4.6,2.9,1.1,0.5,.018,-5.2,-1.1
47,47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,
48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,.342,.367,.821,12.1,4.1,1.5,2.3,0.2,.029,-3.9,-0.2
49,49,PHI,Isaiah Joe,Arkansas,2,96,992,351,92,55,.355,.349,.855,10.3,3.7,1.0,0.6,1.1,.052,-4.0,-0.5
50,50,ATL,Skylar Mays,LSU,2,61,489,204,60,47,.469,.338,.882,8.0,3.3,1.0,0.8,1.1,.104,0.1,0.3
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,
52,52,SAC,Kenyon Martin Jr.,,2,124,2724,1115,539,149,.524,.360,.667,22.0,9.0,4.3,1.2,5.1,.090,-1.4,0.4
53,53,OKC,Cassius Winston,Michigan State,2,29,137,55,10,19,.409,.435,.900,4.7,1.9,0.3,0.7,0.1,.051,-4.9,-0.1
54,54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,.360,.233,.895,7.5,2.7,1.2,0.2,0.0,-.006,-7.9,-0.4
55,55,BRK,Jay Scrubb,John A. Logan College,2,22,205,84,30,9,.390,.267,.800,9.3,3.8,1.4,0.4,-0.1,-.028,-7.3,-0.3
56,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,.667,.500,,3.9,2.6,0.1,0.4,0.1,.177,5.1,0.0
57,57,LAC,Reggie Perry,Mississippi State,2,36,398,170,120,26,.459,.189,.679,11.1,4.7,3.3,0.7,0.4,.048,-5.5,-0.3
58,58,PHI,Paul Reed,DePaul,2,64,479,204,153,28,.552,.143,.455,7.5,3.2,2.4,0.4,1.9,.193,1.0,0.4
59,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,.500,.472,.778,13.2,7.4,1.4,1.3,0.3,.079,0.3,0.1
60,60,NOP,Sam Merrill,Utah State University,2,36,291,114,37,25,.417,.400,.750,8.1,3.2,1.0,0.7,0.5,.088,-1.9,0.0
