,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,.560,.147,.597,33.9,15.9,8.1,7.7,30.4,.156,3.7,13.5
2,2,LAL,Brandon Ingram,Duke,6,368,12080,6812,1896,1412,.461,.360,.769,32.8,18.5,5.2,3.8,18.7,.074,-0.3,5.2
3,3,BOS,Jaylen Brown,California,6,403,11559,6644,1994,822,.473,.373,.712,28.7,16.5,4.9,2.0,24.5,.102,0.1,6.1
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,6,245,5897,1995,815,1029,.420,.299,.739,24.1,8.1,3.3,4.2,3.9,.031,-2.1,-0.2
6,6,NOP,Buddy Hield,Oklahoma,6,468,13675,7463,2003,1180,.430,.398,.865,29.2,15.9,4.3,2.5,17.1,.060,0.1,7.3
7,7,DEN,Jamal Murray,Kentucky,5,345,10384,5639,1258,1322,.446,.367,.878,30.1,16.3,3.6,3.8,20.8,.096,0.3,6.0
8,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,.456,.290,.667,18.3,7.6,4.7,1.0,6.5,.058,-2.4,-0.5
9,9,TOR,Jakob Poeltl,Utah,6,416,8409,3035,2524,601,.628,.667,.518,20.2,7.3,6.1,1.4,28.9,.165,1.0,6.4
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,6,415,11806,5961,3815,1493,.534,.319,.728,28.4,14.4,9.2,3.6,34.6,.141,1.7,11.1
12,12,UTA,Taurean Prince,Baylor,6,370,8936,3899,1442,647,.416,.371,.815,24.2,10.5,3.9,1.7,8.3,.045,-1.8,0.5
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.044,-1.9,0.2
15,15,DEN,Juancho Hernangómez,,6,297,4655,1589,1008,191,.428,.351,.681,15.7,5.4,3.4,0.6,8.1,.083,-1.8,0.3
16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.9,0.0
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5
18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3
