,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
39,39,SAC,Neemias Queta,Utah State University,1,14,120,45,31,6,.447,,.647,8.6,3.2,2.2,0.4,0.1,.051,-5.1,-0.1
40,40,NOP,Jared Butler,Baylor,1,42,360,161,45,63,.404,.318,.688,8.6,3.8,1.1,1.5,0.4,.057,-1.6,0.0
41,41,SAS,Joe Wieskamp,Iowa,1,29,205,61,14,9,.357,.326,.538,7.1,2.1,0.5,0.3,0.1,.035,-3.9,-0.1
42,42,DET,Isaiah Livers,Michigan,1,19,383,121,57,21,.456,.422,.857,20.2,6.4,3.0,1.1,0.7,.085,-1.5,0.0
43,43,NOP,Greg Brown III,Texas,1,48,640,225,135,35,.426,.311,.677,13.3,4.7,2.8,0.7,0.4,.029,-4.7,-0.4
44,44,BRK,Kessler Edwards,Pepperdine,1,48,987,284,172,31,.412,.353,.842,20.6,5.9,3.6,0.6,0.6,.031,-3.8,-0.5
45,45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,
46,46,TOR,Dalano Banton,Nebraska,1,64,696,205,124,99,.411,.255,.591,10.9,3.2,1.9,1.5,0.4,.030,-3.1,-0.2
47,47,TOR,David Johnson,Louisville,1,2,2,0,0,0,.000,.000,,1.0,0.0,0.0,0.0,0.0,-.495,-27.7,0.0
48,48,ATL,Sharife Cooper,Auburn,1,13,39,7,5,5,.214,.167,,3.0,0.5,0.4,0.4,-0.2,-.297,-16.3,-0.1
49,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,
50,50,PHI,Filip Petrušev,Gonzaga,,,,,,,,,,,,,,,,,
51,51,MEM,Brandon Boston Jr.,Kentucky,1,51,760,343,111,51,.385,.306,.819,14.9,6.7,2.2,1.0,0.4,.026,-3.3,-0.3
52,52,DET,Luka Garza,Iowa,1,32,389,186,100,20,.449,.327,.623,12.2,5.8,3.1,0.6,0.8,.093,-2.5,-0.1
53,53,PHI,Charles Bassey,Western Kentucky,1,23,168,69,62,7,.638,.000,.750,7.3,3.0,2.7,0.3,0.8,.220,1.9,0.2
54,54,IND,Sandro Mamukelashvili,Seton Hall,1,41,407,154,82,22,.496,.423,.818,9.9,3.8,2.0,0.5,1.1,.135,-0.3,0.2
55,55,OKC,Aaron Wiggins,Maryland,1,50,1209,416,178,68,.463,.304,.729,24.2,8.3,3.6,1.4,1.2,.048,-4.3,-0.7
56,56,CHO,Scottie Lewis,Florida,1,2,7,1,0,1,,,.500,3.5,0.5,0.0,0.5,0.0,.164,6.0,0.0
57,57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,
58,58,NYK,Jericho Sims,Texas,1,41,555,90,169,21,.722,,.414,13.5,2.2,4.1,0.5,1.5,.128,-1.7,0.0
59,59,BRK,RaiQuan Gray,Florida State,,,,,,,,,,,,,,,,,
60,60,IND,Georgios Kalaitzakis,,1,13,214,86,21,12,.463,.385,.467,16.5,6.6,1.6,0.9,-0.1,-.024,-7.0,-0.3
