,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,1,64,2088,1114,354,356,.416,.314,.845,32.6,17.4,5.5,5.6,-0.5,-.011,-1.6,0.2
2,2,HOU,Jalen Green,,1,67,2138,1157,226,176,.426,.343,.797,31.9,17.3,3.4,2.6,0.7,.015,-2.9,-0.5
3,3,CLE,Evan Mobley,USC,1,69,2331,1034,570,174,.508,.250,.663,33.8,15.0,8.3,2.5,5.2,.107,0.6,1.5
4,4,TOR,Scottie Barnes,Florida State,1,74,2617,1134,557,256,.492,.301,.735,35.4,15.3,7.5,3.5,6.6,.122,0.9,1.9
5,5,ORL,Jalen Suggs,Gonzaga,1,48,1307,564,171,209,.361,.214,.773,27.2,11.8,3.6,4.4,-1.6,-.060,-5.6,-1.2
6,6,OKC,Josh Giddey,,1,54,1700,674,421,345,.419,.263,.709,31.5,12.5,7.8,6.4,0.4,.010,-1.0,0.4
7,7,GSW,Jonathan Kuminga,,1,70,1185,652,234,64,.513,.336,.684,16.9,9.3,3.3,0.9,3.0,.123,-1.5,0.1
8,8,ORL,Franz Wagner,Michigan,1,79,2429,1197,356,231,.468,.354,.863,30.7,15.2,4.5,2.9,4.0,.079,-0.7,0.8
9,9,SAC,Davion Mitchell,Baylor,1,75,2076,861,166,313,.418,.316,.659,27.7,11.5,2.2,4.2,0.1,.003,-3.8,-0.9
10,10,NOP,Ziaire Williams,Stanford,1,62,1346,501,129,65,.450,.314,.782,21.7,8.1,2.1,1.0,2.2,.080,-3.0,-0.3
11,11,CHO,James Bouknight,UConn,1,31,304,142,52,26,.348,.347,.871,9.8,4.6,1.7,0.8,0.0,.001,-7.1,-0.4
12,12,SAS,Joshua Primo,Alabama,1,50,965,288,113,81,.374,.307,.746,19.3,5.8,2.3,1.6,0.0,.001,-5.0,-0.7
13,13,IND,Chris Duarte,Oregon,1,55,1541,720,226,114,.432,.369,.804,28.0,13.1,4.1,2.1,0.9,.029,-2.3,-0.1
14,14,GSW,Moses Moody,Arkansas,1,52,607,228,80,23,.437,.364,.778,11.7,4.4,1.5,0.4,1.3,.101,-2.5,-0.1
15,15,WAS,Corey Kispert,Gonzaga,1,77,1801,634,209,85,.455,.350,.871,23.4,8.2,2.7,1.1,2.3,.061,-2.3,-0.1
16,16,OKC,Alperen Şengün,,1,72,1489,692,393,185,.474,.248,.711,20.7,9.6,5.5,2.6,2.1,.068,-1.0,0.4
17,17,MEM,Trey Murphy III,Virginia,1,62,864,334,147,38,.394,.382,.882,13.9,5.4,2.4,0.6,1.9,.104,-1.2,0.2
18,18,OKC,Tre Mann,Florida,1,60,1367,625,171,91,.393,.360,.793,22.8,10.4,2.9,1.5,0.1,.002,-4.3,-0.8
19,19,NYK,Kai Jones,Texas,1,21,63,22,11,4,.643,.500,.375,3.0,1.0,0.5,0.2,0.0,.009,-6.6,-0.1
20,20,ATL,Jalen Johnson,Duke,1,22,120,52,26,3,.537,.231,.714,5.5,2.4,1.2,0.1,0.0,.013,-4.9,-0.1
21,21,NYK,Keon Johnson,Tennessee,1,37,697,267,81,76,.353,.340,.804,18.8,7.2,2.2,2.1,-0.5,-.031,-5.9,-0.7
22,22,LAL,Isaiah Jackson,Kentucky,1,36,541,297,149,10,.563,.313,.682,15.0,8.3,4.1,0.3,1.4,.126,-1.5,0.1
23,23,HOU,Usman Garuba,,1,24,239,48,83,17,.432,.250,.714,10.0,2.0,3.5,0.7,0.5,.105,-0.9,0.1
24,24,HOU,Josh Christopher,Arizona State,1,74,1334,587,186,150,.448,.296,.735,18.0,7.9,2.5,2.0,0.3,.010,-3.5,-0.5
25,25,LAC,Quentin Grimes,Houston,1,46,786,275,94,44,.404,.381,.684,17.1,6.0,2.0,1.0,1.4,.087,-0.3,0.3
26,26,DEN,Bones Hyland,VCU,1,69,1310,698,188,191,.403,.366,.856,19.0,10.1,2.7,2.8,2.4,.088,-0.4,0.5
27,27,BRK,Cam Thomas,LSU,1,67,1176,570,161,78,.433,.270,.829,17.6,8.5,2.4,1.2,0.8,.033,-3.4,-0.4
28,28,PHI,Jaden Springer,Tennessee,1,2,6,2,2,0,1.000,,,3.0,1.0,1.0,0.0,0.0,.138,17.1,0.0
29,29,PHO,Day'Ron Sharpe,UNC,1,32,391,198,160,17,.577,.286,.585,12.2,6.2,5.0,0.5,1.2,.152,-2.8,-0.1
30,30,UTA,Santi Aldama,Loyola (MD),1,32,360,132,87,21,.402,.125,.625,11.3,4.1,2.7,0.7,0.3,.044,-5.7,-0.3
31,31,MIL,Isaiah Todd,,1,12,74,20,12,4,.269,.250,.333,6.2,1.7,1.0,0.3,-0.2,-.104,-6.9,-0.1
32,32,NYK,Jeremiah Robinson-Earl,Villanova,1,49,1087,366,274,49,.414,.352,.741,22.2,7.5,5.6,1.0,1.5,.065,-2.2,-0.1
33,33,ORL,Jason Preston,Ohio University,,,,,,,,,,,,,,,,,
34,34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,
35,35,NOP,Herbert Jones,Alabama,1,78,2335,742,296,167,.476,.337,.840,29.9,9.5,3.8,2.1,4.6,.096,-0.5,0.9
36,36,OKC,Miles McBride,West Virginia,1,40,372,89,42,41,.296,.250,.667,9.3,2.2,1.1,1.0,0.2,.032,-4.5,-0.2
37,37,DET,JT Thor,Auburn,1,33,262,67,43,19,.436,.259,.600,7.9,2.0,1.3,0.6,0.3,.058,-3.0,-0.1
38,38,CHI,Ayo Dosunmu,Illinois,1,77,2110,679,214,256,.520,.376,.679,27.4,8.8,2.8,3.3,3.0,.069,-2.0,0.0
