,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,Zaid Abdul-Aziz,PF-C,31,TOT,16,,9.9,1.4,3.8,.383,,,,1.4,3.8,.383,.383,1.1,1.4,.739,1.2,1.9,3.1,0.6,0.2,0.2,0.9,1.8,3.9
1,Kareem Abdul-Jabbar*,C,30,LAL,62,,36.5,10.7,19.4,.550,,,,10.7,19.4,.550,.550,4.4,5.6,.783,3.0,9.9,12.9,4.3,1.7,3.0,3.4,2.9,25.8
2,Tom Abernethy,SF,23,LAL,73,,18.0,2.8,5.5,.498,,,,2.8,5.5,.498,.498,1.2,1.5,.820,1.4,2.2,3.6,1.4,0.8,0.3,0.7,1.7,6.8
3,Alvan Adams,C,23,PHO,70,,27.3,6.2,12.8,.485,,,,6.2,12.8,.485,.485,3.1,4.2,.730,2.3,5.8,8.1,3.2,1.2,0.9,3.3,3.5,15.5
4,Lucius Allen,PG,30,KCK,77,,27.9,4.8,11.0,.441,,,,4.8,11.0,.441,.441,2.3,2.9,.791,0.9,2.1,3.0,4.7,1.2,0.4,2.8,2.3,11.9
5,Jim Ard,C,29,TOT,15,,8.3,0.5,1.1,.471,,,,0.5,1.1,.471,.471,0.2,0.3,.600,0.6,1.8,2.4,0.5,0.0,0.0,0.9,1.3,1.3
6,Tate Armstrong,SG,22,CHI,66,,10.8,2.0,4.2,.468,,,,2.0,4.2,.468,.468,0.3,0.4,.815,0.4,0.7,1.0,1.1,0.3,0.0,0.9,0.6,4.3
7,Bird Averitt,SG,25,TOT,55,,19.7,3.6,8.8,.409,,,,3.6,8.8,.409,.409,1.8,2.6,.709,0.3,1.2,1.5,3.6,0.7,0.2,2.6,2.2,9.0
8,Dennis Awtrey,C,29,PHO,81,,20.0,1.4,3.3,.424,,,,1.4,3.3,.424,.424,0.9,1.3,.633,1.2,2.5,3.7,2.0,0.2,0.3,1.6,1.9,3.6
9,Gus Bailey,SG,26,NOJ,48,,9.4,1.2,2.9,.424,,,,1.2,2.9,.424,.424,0.8,1.4,.552,0.9,0.8,1.7,0.8,0.4,0.3,0.7,1.0,3.2
10,Greg Ballard,SF,23,WSB,76,,12.3,1.9,4.4,.425,,,,1.9,4.4,.425,.425,1.2,1.5,.772,1.3,2.2,3.5,0.8,0.4,0.2,0.8,1.2,4.9
