,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,George Adams,SF,24,SDA,80,,17.9,3.2,6.3,.500,0.0,0.1,.143,3.2,6.2,.505,.501,1.0,1.3,.757,1.6,2.7,4.3,1.6,0.6,0.3,1.5,1.4,7.3
1,Jim Ard,C,25,MMT,27,,18.6,2.4,6.1,.402,0.1,0.1,1.000,2.4,6.0,.395,.409,1.5,1.9,.784,1.8,4.1,5.9,1.5,0.6,0.9,1.6,1.6,6.4
2,Bob Arnzen,SF,26,INA,20,,7.5,1.2,2.4,.500,0.1,0.1,1.000,1.2,2.4,.489,.510,0.4,0.5,.778,0.5,0.5,1.0,0.2,0.2,0.1,0.4,0.6,2.8
3,Bird Averitt,SG,21,SAA,74,,22.1,4.6,12.3,.376,0.1,0.7,.180,4.5,11.6,.387,.381,2.1,3.0,.696,0.6,1.0,1.6,1.8,0.9,0.1,1.9,2.2,11.5
4,Mike Barr,SG,23,VIR,45,,14.5,1.8,3.8,.480,0.0,0.1,.400,1.8,3.7,.482,.485,0.7,1.0,.767,0.5,1.1,1.6,1.8,0.6,0.1,1.3,1.8,4.4
5,Tim Bassett,PF,22,SDA,82,,22.6,2.8,6.1,.467,0.0,0.0,.000,2.8,6.0,.471,.467,1.2,2.0,.593,3.1,4.2,7.3,1.3,0.7,0.4,1.1,2.3,6.9
6,Johnny Baum,SF,27,TOT,60,,20.3,3.0,6.7,.450,0.0,0.0,,3.0,6.7,.450,.450,0.8,1.0,.820,1.4,2.0,3.4,1.0,0.6,0.3,0.8,1.7,6.8
7,John Beasley,PF,29,UTS,43,,11.2,1.7,4.2,.414,0.5,1.5,.344,1.2,2.7,.453,.475,0.2,0.3,.909,1.0,1.7,2.8,0.4,0.2,0.2,0.5,1.3,4.2
8,Zelmo Beaty*,PF,34,UTS,77,,32.2,5.4,10.3,.524,0.0,0.0,.000,5.4,10.3,.525,.524,2.5,3.2,.795,2.2,5.8,8.0,1.7,0.8,0.8,1.4,3.0,13.4
9,Byron Beck,C,29,DNR,82,,24.1,5.2,10.0,.516,0.0,0.0,.000,5.2,10.0,.517,.516,1.5,1.7,.851,2.0,3.1,5.1,0.9,0.6,0.1,1.0,2.8,11.8
10,Ron Boone,SG,27,UTS,84,,36.9,7.0,14.1,.494,0.1,0.3,.231,6.9,13.8,.500,.497,3.6,4.1,.875,1.9,3.3,5.2,5.0,1.5,0.3,3.8,3.4,17.6
11,Jim Bradley,SF,21,KEN,35,,25.3,3.7,8.8,.421,0.0,0.1,.000,3.7,8.8,.423,.421,0.9,1.3,.705,1.9,4.2,6.1,1.4,1.1,0.8,1.6,3.0,8.3
12,Roger Brown*,SF,31,INA,82,,30.8,4.6,10.1,.457,0.7,1.9,.361,3.9,8.2,.479,.491,1.9,2.4,.775,1.4,3.4,4.8,2.8,0.7,0.7,1.5,3.0,11.8
13,Roger Brown,C,23,TOT,63,,15.7,1.6,4.1,.377,0.0,0.0,,1.6,4.1,.377,.377,0.5,0.9,.607,2.3,3.3,5.6,0.7,0.4,1.0,1.3,2.0,3.7
14,Don Buse,SG,23,INA,77,,24.4,2.2,5.5,.398,0.5,1.4,.336,1.7,4.2,.419,.440,0.6,0.9,.686,1.1,2.2,3.3,3.4,1.9,0.3,1.0,1.4,5.5
15,Joe Caldwell,SF,32,CAR,79,,33.6,6.4,13.0,.489,0.0,0.2,.176,6.3,12.8,.494,.490,1.6,3.3,.496,2.2,3.0,5.2,4.4,2.2,0.4,3.1,3.2,14.4
16,Mack Calvin,PG,26,CAR,83,,31.2,6.0,13.0,.462,0.1,0.5,.233,5.9,12.5,.471,.467,5.9,6.7,.875,0.9,2.0,2.9,4.2,1.6,0.1,2.8,2.9,18.0
17,Larry Cannon,SG,26,INA,3,,8.7,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.3,1.0,.333,0.3,0.7,1.0,1.0,0.0,0.0,1.0,0.7,2.3
18,George Carter,SF,30,VIR,80,,35.2,7.0,16.6,.422,0.4,1.2,.344,6.6,15.5,.428,.434,4.9,5.8,.841,2.4,4.3,6.7,1.7,0.8,0.2,2.9,3.9,19.3
19,Jerry Chambers,SF,30,SAA,38,,15.2,2.5,5.4,.456,0.0,0.0,,2.5,5.4,.456,.456,0.9,1.3,.750,1.0,1.7,2.7,1.1,0.3,0.1,0.7,1.9,5.9
20,Jim Chones,C,24,CAR,83,,28.8,6.4,12.3,.526,0.0,0.0,.000,6.4,12.2,.527,.526,1.9,3.0,.615,2.3,5.5,7.8,1.4,0.7,1.6,2.5,4.2,14.8
21,Glen Combs,PG-SG,27,TOT,76,,26.1,4.0,9.2,.437,0.7,1.9,.354,3.3,7.2,.459,.474,2.1,2.8,.736,0.6,1.3,1.9,4.0,0.7,0.1,1.9,2.0,10.7
22,Billy Cunningham*,SF,30,CAR,32,,37.2,7.9,16.8,.471,0.0,0.3,.125,7.9,16.5,.476,.472,4.7,5.8,.797,2.7,7.7,10.3,4.7,1.8,0.7,4.0,3.3,20.5
23,Louie Dampier*,PG,29,KEN,84,,35.0,7.2,15.4,.465,0.6,1.5,.387,6.6,14.0,.474,.484,2.8,3.4,.832,0.5,1.8,2.4,5.6,1.0,0.2,2.7,1.8,17.8
24,Mel Daniels*,C,29,INA,78,,32.6,6.3,14.3,.440,0.0,0.0,,6.3,14.3,.440,.440,2.8,3.7,.756,3.2,8.4,11.6,1.6,0.7,1.2,2.8,3.6,15.4
25,Lee Davis,C,28,MMT,79,,20.7,3.4,7.5,.451,0.0,0.1,.250,3.4,7.4,.452,.452,1.2,1.9,.645,1.8,3.5,5.3,1.8,0.4,0.5,1.3,3.0,8.0
26,Randy Denton,C,24,MMT,79,,28.1,5.7,11.4,.496,0.0,0.0,.000,5.7,11.4,.497,.496,2.0,2.5,.792,3.2,6.6,9.8,1.9,0.7,0.4,2.1,2.8,13.3
27,Coby Dietrick,PF,25,SAA,84,,25.5,3.0,6.8,.441,0.0,0.0,.000,3.0,6.7,.443,.441,1.0,1.4,.711,2.4,4.0,6.3,3.0,1.1,0.6,1.8,3.4,6.9
28,Jim Eakins,C,27,VIR,84,,31.5,5.3,10.2,.520,0.0,0.0,.000,5.3,10.2,.520,.520,4.0,5.1,.785,3.5,6.1,9.6,2.8,0.8,1.2,2.7,3.2,14.6
29,Roy Ebron,C,22,UTS,40,,13.2,2.6,5.3,.488,0.0,0.0,.000,2.6,5.3,.490,.488,1.1,2.1,.512,2.0,2.4,4.4,0.5,0.4,0.8,0.9,1.7,6.2
30,Charles Edge,SF,23,MMT,78,,25.0,4.0,8.0,.500,0.0,0.0,.000,4.0,8.0,.501,.500,1.6,2.3,.681,3.2,5.0,8.2,0.9,0.8,0.9,1.7,1.8,9.6
31,Scott English,SF,23,VIR,5,,9.6,0.6,3.0,.200,0.0,0.0,,0.6,3.0,.200,.200,0.8,0.8,1.000,0.6,2.6,3.2,0.8,0.6,0.0,1.8,1.8,2.0
32,Julius Erving*,SF,23,NYA,84,,40.5,10.9,21.3,.512,0.2,0.5,.395,10.7,20.7,.515,.517,5.4,7.1,.766,3.1,7.6,10.7,5.2,2.3,2.4,4.1,3.2,27.4
33,Larry Finch,SG,22,MMT,65,,17.8,2.5,6.1,.411,0.1,0.4,.269,2.4,5.7,.421,.420,1.7,2.1,.794,0.4,0.8,1.1,1.7,0.4,0.0,1.5,2.5,6.8
34,Donnie Freeman,SG,29,INA,66,,26.3,5.8,12.7,.456,0.0,0.0,.000,5.8,12.7,.458,.456,2.7,3.4,.797,1.4,1.2,2.5,2.5,0.7,0.3,2.0,2.6,14.3
35,Mike Gale,SG-PG,23,TOT,80,,31.2,3.9,9.0,.436,0.0,0.2,.118,3.9,8.8,.444,.438,1.3,1.8,.750,1.3,3.3,4.6,4.1,2.1,1.0,2.2,3.0,9.2
36,George Gervin*,SG-SF,21,TOT,74,,33.9,9.1,19.3,.471,0.1,0.8,.143,9.0,18.5,.485,.474,5.1,6.3,.815,2.3,6.1,8.4,1.9,1.4,1.6,3.4,3.6,23.4
37,Artis Gilmore*,C,24,KEN,84,,41.7,7.4,15.0,.493,0.0,0.0,.000,7.4,15.0,.494,.493,3.9,5.8,.667,5.7,12.6,18.3,3.9,0.7,3.4,3.8,3.6,18.7
38,Gerald Govan,C,32,UTS,83,,33.3,3.1,6.5,.471,0.0,0.0,.000,3.1,6.5,.473,.471,0.9,1.3,.689,1.7,7.1,8.8,3.0,0.7,0.6,1.9,3.1,7.0
39,Travis Grant,SF,24,SDA,56,,23.6,6.4,12.2,.524,0.0,0.1,.250,6.4,12.1,.526,.525,2.5,3.1,.801,1.9,3.4,5.3,1.1,0.8,0.2,1.6,2.1,15.3
40,Mike Green,C,22,DNR,79,,20.9,4.6,10.1,.459,0.0,0.0,.500,4.6,10.1,.459,.460,2.1,2.9,.748,2.8,4.5,7.4,0.8,0.6,1.6,1.6,2.4,11.4
41,Gary Gregor,SF,28,NYA,25,,12.5,1.6,3.4,.471,0.1,0.1,.667,1.5,3.3,.463,.482,0.4,0.4,.818,0.9,2.0,2.8,0.6,0.2,0.0,0.4,1.9,3.6
42,Joe Hamilton,PG,25,TOT,73,,26.9,4.5,11.4,.397,0.5,2.0,.257,4.0,9.5,.426,.419,1.6,2.0,.818,0.5,1.7,2.3,3.3,1.0,0.1,1.5,2.1,11.2
43,Simmie Hill,SF,27,SAA,60,,14.0,1.9,4.1,.459,0.0,0.2,.000,1.9,3.9,.481,.459,0.8,1.0,.726,1.0,1.9,2.9,1.0,0.2,0.3,1.1,2.4,4.5
44,Darnell Hillman,PF,24,INA,83,,27.9,4.0,7.9,.498,0.0,0.1,.375,3.9,7.8,.500,.501,1.2,2.3,.518,2.4,5.8,8.1,1.2,0.8,2.1,2.1,3.6,9.1
45,George Irvine,SF,25,VIR,75,,15.2,3.4,6.9,.492,0.2,0.6,.261,3.2,6.3,.515,.504,1.6,1.8,.870,0.7,1.6,2.4,1.0,0.4,0.2,0.9,1.8,8.5
46,Dan Issel*,PF,25,KEN,83,,40.3,10.0,20.8,.480,0.0,0.2,.176,10.0,20.6,.483,.481,5.5,7.0,.787,4.2,6.0,10.2,1.7,0.8,0.4,2.1,2.4,25.5
47,Warren Jabali,SG,27,DNR,49,,34.9,5.2,13.4,.391,0.9,2.5,.366,4.3,10.9,.397,.425,4.5,5.6,.803,1.7,3.3,5.0,7.3,2.0,0.2,4.0,3.4,15.9
48,Mike Jackson,PF,24,TOT,72,,20.5,3.4,6.8,.505,0.0,0.1,.429,3.4,6.7,.506,.508,1.5,2.1,.724,1.9,3.3,5.3,0.8,0.3,0.2,1.5,3.1,8.4
49,Billy James,PG,23,KEN,1,,10.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0
50,Stew Johnson,PF,29,SDA,84,,31.6,8.5,19.9,.429,0.7,2.3,.311,7.8,17.6,.445,.447,2.4,2.8,.847,2.2,4.2,6.3,1.5,0.9,0.2,1.6,1.9,20.1
51,Caldwell Jones,C,23,SDA,79,,37.1,6.4,13.8,.465,0.0,0.1,.250,6.4,13.7,.466,.466,2.2,2.9,.743,4.1,9.8,13.9,1.8,0.8,4.0,2.0,4.0,15.0
