,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,Andrew Anderson,SG,24,TOT,81,,26.5,5.0,11.5,.431,0.0,0.2,.077,4.9,11.3,.436,.432,2.5,3.3,.761,1.7,1.4,3.1,2.0,,,1.8,2.4,12.4
1,Cliff Anderson,SG,25,DNR,3,,7.3,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,0.7,2.0,.333,0.3,1.0,1.3,1.3,,,1.0,1.0,2.0
2,Bob Arnzen,SF,22,NYA,13,,7.5,1.5,3.7,.396,0.0,0.1,.000,1.5,3.6,.404,.396,0.2,0.5,.333,0.9,0.8,1.7,0.4,,,0.6,0.8,3.1
3,John Barnhill,SG,31,INA,77,,30.8,4.2,10.7,.394,0.9,3.5,.261,3.3,7.2,.460,.438,2.1,3.1,.664,0.8,1.5,2.2,4.1,,,2.0,2.5,11.4
4,Mike Barrett,SG,26,WSA,84,,26.9,5.7,13.4,.425,0.7,2.1,.344,5.0,11.3,.441,.453,2.8,3.6,.761,1.7,1.9,3.5,3.1,,,2.7,2.9,14.9
5,Rick Barry*,SF,25,WSA,52,,35.6,9.9,19.9,.499,0.2,0.8,.205,9.8,19.2,.511,.503,7.7,8.9,.864,2.5,4.5,7.0,3.4,,,3.5,3.3,27.7
6,Charles Beasley,SG,24,DLC,80,,26.9,3.7,8.3,.438,0.2,0.9,.264,3.4,7.4,.459,.452,2.9,3.3,.882,0.4,2.2,2.6,3.5,,,2.2,2.8,10.4
7,John Beasley,PF,25,DLC,84,,36.5,7.5,14.9,.499,0.0,0.1,.375,7.4,14.8,.500,.500,3.4,4.1,.818,3.6,8.4,12.0,1.6,,,2.1,3.3,18.3
8,Byron Beck,C,25,DNR,79,,31.1,5.6,10.6,.523,0.0,0.0,.000,5.6,10.6,.524,.523,1.7,2.2,.787,3.2,6.5,9.7,1.4,,,1.7,3.7,12.9
9,Arthur Becker,PF,28,INA,82,,18.3,3.8,7.2,.521,0.0,0.0,.000,3.8,7.2,.522,.521,1.4,1.7,.810,1.3,3.3,4.6,0.5,,,0.7,3.0,8.9
10,Bob Bedell,PF,25,DLC,80,,19.2,3.6,8.5,.421,0.0,0.1,.200,3.5,8.3,.424,.422,2.6,3.1,.841,1.9,3.8,5.7,1.6,,,1.8,2.4,9.7
11,Larry Bergh,PF,24,PTP,20,,12.8,2.5,6.0,.408,0.0,0.1,.000,2.5,6.0,.412,.408,1.2,1.7,.697,1.8,2.5,4.3,0.9,,,0.7,2.6,6.1
12,Butch Booker,C,24,MMF,12,,18.4,2.5,5.1,.492,0.0,0.1,.000,2.5,5.0,.500,.492,0.8,1.5,.556,3.7,3.9,7.6,0.5,,,1.1,1.9,5.8
13,Ron Boone,SG,23,DLC,84,,27.9,5.0,11.7,.432,0.2,0.7,.309,4.8,11.0,.439,.440,3.6,4.5,.785,1.5,2.9,4.4,3.2,,,3.4,3.2,13.8
14,Tommie Bowens,PF,29,NOB,68,,11.1,1.6,3.7,.438,0.0,0.0,,1.6,3.7,.438,.438,0.7,0.9,.758,1.1,1.5,2.6,0.6,,,0.8,2.2,3.9
