,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,Willie Allen,PF,22,FLO,7,,4.3,0.6,1.9,.308,0.0,0.0,,0.6,1.9,.308,.308,0.7,0.9,.833,0.6,1.4,2.0,0.6,,,0.9,1.6,1.9
1,Jim Ard,C,23,NYA,71,,16.1,2.2,5.0,.450,0.0,0.1,.250,2.2,4.9,.455,.453,1.1,1.8,.606,1.7,3.4,5.2,0.5,,,1.4,2.1,5.6
2,John Barnhill,PG,33,INA,19,,10.2,1.5,4.6,.322,0.2,1.8,.114,1.3,2.7,.462,.345,0.4,0.8,.533,0.4,0.6,1.0,0.8,,,0.6,0.8,3.6
3,Rick Barry*,SF,27,NYA,80,,45.2,11.3,24.6,.458,0.9,3.0,.308,10.4,21.7,.479,.477,8.0,9.1,.878,1.9,5.6,7.5,4.1,,,3.3,3.3,31.5
4,Johnny Baum,SF,25,NYA,44,,12.5,2.3,3.9,.606,0.0,0.0,,2.3,3.9,.606,.606,0.9,1.2,.788,1.2,1.8,3.1,0.4,,,0.5,1.7,5.6
5,John Beasley,PF,27,TOT,70,,12.6,1.9,4.1,.465,0.1,0.4,.320,1.8,3.7,.479,.479,0.9,1.1,.813,1.4,2.7,4.1,0.6,,,0.5,1.5,4.8
6,Zelmo Beaty*,C,32,UTS,84,,37.3,8.7,16.1,.539,0.0,0.1,.000,8.7,16.0,.542,.539,6.2,7.5,.829,4.2,9.0,13.2,1.5,,,2.7,3.8,23.6
7,Byron Beck,C,27,DNR,66,,27.5,5.1,10.1,.504,0.0,0.0,.000,5.1,10.1,.506,.504,2.1,2.5,.843,2.6,5.4,8.0,2.1,,,1.5,3.2,12.3
8,Arthur Becker,PF,30,DNR,84,,26.1,5.2,11.4,.456,0.0,0.0,.000,5.2,11.3,.457,.456,2.0,2.3,.846,2.0,3.6,5.6,1.3,,,1.6,3.2,12.3
9,Ron Boone,SG,25,UTS,84,,24.3,4.8,11.5,.420,0.2,0.8,.200,4.7,10.7,.436,.427,3.2,4.1,.795,1.9,2.7,4.7,2.8,,,2.6,3.3,13.0
10,Nate Bowman,C,28,PTC,18,,12.1,1.1,2.9,.358,0.0,0.1,.000,1.1,2.9,.365,.358,0.3,0.5,.556,1.8,3.1,4.8,0.7,,,0.9,2.7,2.4
11,John Brisker,SF,24,PTC,49,,42.1,11.5,25.1,.458,0.9,2.8,.314,10.6,22.3,.477,.476,5.1,5.8,.867,3.1,6.0,9.1,4.1,,,4.3,3.2,28.9
12,Larry Brown*,PG,31,DNR,76,,26.5,3.2,7.3,.437,0.1,0.3,.200,3.1,7.0,.448,.442,2.6,3.2,.811,0.7,1.5,2.2,7.2,,,2.9,2.7,9.1
13,Roger Brown*,SF,29,INA,78,,38.3,6.8,14.3,.478,0.7,2.4,.308,6.1,11.9,.512,.504,4.1,5.1,.805,2.1,4.3,6.4,3.9,,,2.7,2.9,18.5
14,Bill Bunting,SF,24,VIR,16,,7.2,0.3,0.9,.267,0.0,0.1,.000,0.3,0.9,.286,.267,0.8,1.1,.706,0.2,0.8,0.9,0.2,,,0.3,0.7,1.3
15,Mike Butler,SG,25,UTS,14,,6.9,1.0,2.6,.389,0.2,0.6,.333,0.8,1.9,.407,.431,0.4,0.5,.857,0.3,0.4,0.7,0.9,,,0.9,1.3,2.6
16,Joe Caldwell,SF,30,CAR,61,,35.2,7.1,15.1,.471,0.1,0.3,.250,7.0,14.8,.476,.473,2.6,5.2,.500,2.6,3.0,5.6,4.2,,,2.7,3.4,16.9
17,Mack Calvin,PG,24,FLO,82,,36.3,6.7,15.3,.441,0.1,0.6,.229,6.6,14.7,.449,.445,7.5,8.5,.872,1.4,1.9,3.3,5.9,,,3.2,3.3,21.0
18,Larry Cannon,SG,24,TOT,54,,21.7,4.2,11.3,.374,0.1,0.3,.214,4.2,11.0,.378,.376,3.0,4.1,.742,1.1,0.9,2.0,2.8,,,1.9,2.3,11.5
